,seller,sales,shop_since,rating,favorers,listings,categories,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,other_products
0,HomeStoriesStore,110,2018,5.0,78,7,3,7,1,110.0,9.166666666666666,328.03,3006.941666666666,36083.3,100.0,36083.3,3006.941666666666,0.0,1.0,1.0,28.57142857142857,2.0,0.0
1,WallKnot,7260,2015,4.9712,8705,781,18,686,4,1815.0,151.25,1803.1369942196525,272724.47037572245,3272693.6445086687,87.8361075544174,2874606.7095172177,239550.55912643482,0.0,171.0,2.0,25.218658892128282,173.0,0.0
2,FoliageandFlotsam,453,2016,4.9231,282,39,4,30,3,151.0,12.583333333333336,732.4869230769231,9217.127115384616,110605.52538461536,76.92307692307692,85081.17337278105,7090.0977810650875,0.0,13.0,0.0,43.33333333333334,13.0,0.0
3,ReformFibers,17304,2014,4.9071,8095,52,4,52,5,3460.8,288.4,283.28085106382997,81698.19744680855,980378.3693617028,100.0,980378.3693617028,81698.19744680855,0.0,5.0,42.0,90.3846153846154,47.0,0.0
4,CloudyMtnMacrame,611,2018,4.9779,594,65,7,66,1,611.0,50.91666666666666,1525.798636363637,77688.58056818183,932262.966818182,101.53846153846152,946605.4740000002,78883.78950000001,0.0,20.0,2.0,33.333333333333336,22.0,0.0
5,MacrameWonderlandAU,521,2018,5.0,272,50,2,49,1,521.0,43.41666666666666,711.0152380952379,30869.911587301576,370438.9390476189,98.0,363030.16026666656,30252.51335555554,0.0,21.0,0.0,42.857142857142854,21.0,0.0
6,macratura,19,2018,5.0,6,21,0,21,1,19.0,1.5833333333333333,539.2857142857143,853.8690476190477,10246.428571428572,100.0,10246.428571428572,853.8690476190477,0.0,14.0,0.0,66.66666666666667,14.0,0.0
7,MidwestWoven,92,2018,5.0,59,20,0,6,1,92.0,7.666666666666668,198.81,1524.21,18290.52,30.0,5487.156,457.26300000000003,0.0,0.0,0.0,0.0,0.0,2.0
8,mislanascreativas,3000,2013,4.9216,1917,220,10,213,6,500.0,41.66666666666666,2077.535,86563.95833333331,1038767.5,96.8181818181818,1005715.8068181815,83809.65056818182,0.0,3.0,1.0,1.8779342723004693,4.0,0.0
9,HomeVibesMacrame,5031,2015,4.9919,2948,75,10,73,4,1257.75,104.8125,527.5315686274511,55291.90253676472,663502.8304411764,97.33333333333331,645809.4216294115,53817.451802450974,0.0,3.0,48.0,69.86301369863014,51.0,0.0
10,OhMyKnot,111,2017,4.9231,412,41,7,40,2,55.5,4.625,3924.85,18152.43125,217829.175,97.56097560975608,212516.2682926829,17709.68902439024,0.0,4.0,0.0,10.0,4.0,1.0
11,HezeraStore,203,2018,5.0,133,23,5,23,1,203.0,16.916666666666668,402.561,6809.99025,81719.883,100.0,81719.883,6809.99025,2.0,0.0,10.0,52.17391304347826,12.0,0.0
12,SoulStarCreations,73,2018,5.0,28,31,1,6,1,73.0,6.083333333333332,668.12,4064.396666666666,48772.76,19.354838709677423,9439.889032258065,786.6574193548387,0.0,1.0,0.0,16.666666666666668,1.0,0.0
13,MacrameDecorStore,6325,2010,4.9091,9219,117,16,112,9,702.7777777777777,58.564814814814824,477.3726923076922,27957.24332264957,335486.9198717948,95.72649572649573,321149.8720140258,26762.489334502152,0.0,18.0,8.0,23.214285714285715,26.0,0.0
14,SCYarn,2713,2016,4.8426,276,39,0,34,3,904.3333333333335,75.3611111111111,99.2,7475.822222222223,89709.86666666668,87.1794871794872,78208.60170940173,6517.383475783477,0.0,0.0,1.0,2.9411764705882355,1.0,0.0
15,KNOTLYmacrame,233,2018,4.9787,282,33,7,31,1,233.0,19.416666666666668,1593.2985714285714,30936.547261904772,371238.5671428572,93.93939393939394,348739.26004329004,29061.60500360751,0.0,21.0,0.0,67.74193548387096,21.0,0.0
16,BohoMontreal,1499,2014,5.0,2020,80,9,67,5,299.8,24.98333333333333,110.27666666666666,2755.0787222222225,33060.94466666666,83.75,27688.54115833333,2307.3784298611113,0.0,1.0,2.0,4.477611940298506,3.0,0.0
17,MBcordas,3955,2016,4.9419,2225,112,17,106,3,1318.3333333333333,109.86111111111113,593.5032530120479,65202.92682396249,782435.1218875499,94.64285714285714,740518.9546435737,61709.91288696449,0.0,0.0,83.0,78.30188679245283,83.0,0.0
18,BohoWallflowerShop,96,2015,5.0,183,48,3,48,4,24.0,2.0,1883.8496969696967,3767.6993939393933,45212.392727272716,100.0,45212.392727272716,3767.6993939393933,0.0,33.0,0.0,68.75,33.0,0.0
19,Eilascrafts,424,2017,4.9474,114,41,6,36,2,212.0,17.666666666666668,373.39931034482765,6596.721149425288,79160.65379310345,87.8048780487805,69506.91552565183,5792.242960470985,0.0,29.0,0.0,80.55555555555556,29.0,0.0
20,CraftandBeadsUSA,46020,2017,4.9719,2693,115,5,103,2,23010.0,1917.5,96.5884375,185208.32890625,2222499.946875,89.56521739130434,1990586.9089402168,165882.24241168474,6.0,0.0,32.0,36.89320388349515,38.0,0.0
21,PeraStore,1327,2016,4.9338,564,48,9,38,3,442.33333333333326,36.861111111111114,196.82,7255.003888888889,87060.04666666666,79.16666666666667,68922.53694444445,5743.544745370371,1.0,0.0,0.0,2.631578947368421,1.0,0.0
22,MangoAndMore,4069,2014,4.9646,6293,74,4,74,5,813.8,67.81666666666666,3232.932666666666,219246.7170111111,2630960.604133333,100.0,2630960.604133333,219246.7170111111,0.0,15.0,0.0,20.27027027027027,15.0,0.0
23,StringSupply,380,2015,4.9318,307,10,2,10,4,95.0,7.916666666666668,1144.9966666666667,9064.556944444445,108774.68333333332,100.0,108774.68333333332,9064.556944444445,2.0,0.0,3.0,50.0,5.0,0.0
24,VeraMacrameArt,218,2018,5.0,173,15,2,15,1,218.0,18.166666666666668,2416.926428571428,43907.496785714284,526889.9614285714,100.0,526889.9614285714,43907.496785714284,0.0,13.0,0.0,86.66666666666669,13.0,1.0
25,CottonandTreeHome,110,2018,5.0,102,69,8,65,1,110.0,9.166666666666666,1095.0956666666668,10038.376944444446,120460.52333333336,94.20289855072464,113477.304589372,9456.442049114334,0.0,28.0,1.0,44.615384615384606,29.0,1.0
26,HomeMacrameDesigns,68,2018,5.0,63,396,11,357,1,68.0,5.666666666666668,1547.7798947368424,8770.752736842105,105249.03284210527,90.15151515151516,94883.59778947369,7906.966482456141,0.0,62.0,29.0,25.490196078431374,91.0,4.0
27,MoonshadowMacrame,4383,2016,4.9469,3044,86,10,86,3,1461.0,121.75,1031.9647368421054,125641.70671052631,1507700.4805263155,100.0,1507700.4805263155,125641.70671052631,0.0,2.0,17.0,22.09302325581395,19.0,0.0
28,IndigoKnotsAndCo,337,2018,4.9302,228,29,3,29,1,337.0,28.08333333333333,2023.8575,56836.66479166666,682039.9774999999,100.0,682039.9774999999,56836.66479166666,0.0,19.0,1.0,68.96551724137932,20.0,0.0
29,EvaMayaCrafts,1,2019,0.0,3,15,3,15,0,1.0,0.5,1441.442,720.721,1441.442,100.0,1441.442,720.721,0.0,10.0,0.0,66.66666666666667,10.0,0.0
30,PapuShoiPATTERNS,241,2018,4.8889,58,6,0,6,1,241.0,20.08333333333333,90.256,1812.641333333333,21751.696,100.0,21751.696,1812.641333333333,0.0,0.0,5.0,83.33333333333333,5.0,0.0
31,MeganAnneMacrame,63,2016,0.0,9,22,5,22,3,21.0,1.75,270.68,473.69,5684.28,100.0,5684.28,473.69,0.0,0.0,0.0,0.0,0.0,1.0
32,PansyHome,38,2016,5.0,22,27,2,27,3,12.666666666666664,1.0555555555555556,246.65235294117645,260.3552614379085,3124.2631372549017,100.0,3124.2631372549017,260.3552614379085,0.0,0.0,17.0,62.96296296296296,17.0,0.0
33,WalkOnEarth,69,2018,5.0,69,67,10,3,1,69.0,5.75,270.27,1554.0524999999998,18648.63,4.477611940298506,835.0132835820892,69.58444029850745,0.0,1.0,0.0,33.333333333333336,1.0,0.0
34,ThisIsSuzy,360,2012,5.0,219,12,3,3,7,51.42857142857143,4.285714285714286,67.57,289.5857142857143,3475.028571428571,25.0,868.7571428571428,72.39642857142857,0.0,0.0,2.0,66.66666666666667,2.0,0.0
35,TeddyandWool,1934,2016,4.9919,10637,71,4,71,3,644.6666666666666,53.72222222222222,12577.811147540979,675707.9655373405,8108495.586448085,100.0,8108495.586448085,675707.9655373405,0.0,52.0,7.0,83.09859154929578,59.0,2.0
36,PastPatternsPalooza,17675,2017,4.9252,1692,1302,20,121,2,8837.5,736.4583333333335,37.707177419354885,27769.7650369624,333237.1804435487,9.293394777265744,30969.04672324838,2580.753893604032,2.0,0.0,124.0,104.13223140495869,126.0,0.0
37,MacraMeMix,11,2018,5.0,33,36,11,36,1,11.0,0.9166666666666666,2074.222916666667,1901.3710069444448,22816.452083333334,100.0,22816.452083333334,1901.3710069444448,0.0,24.0,0.0,66.66666666666667,24.0,0.0
38,EstonianWorkshop,16,2018,5.0,28,8,2,8,1,16.0,1.3333333333333333,,,,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0
